Time,Energy 1,Energy 2,Total,Scatterer,Absorber
72594708,232.136448,443.093127,675.229575,2,5
72788620,218.152464,433.974804,652.127267,4,5
72858277,237.973337,402.355253,640.328591,1,5
72943522,221.478278,436.420747,657.899026,1,5
73027286,323.963794,327.595897,651.559691,2,6
73109074,200.029007,439.169375,639.198382,4,8
73134003,267.923251,329.923683,597.846934,3,6
73202328,278.752623,351.038910,629.791533,1,8
73378565,239.112367,448.740761,687.853128,4,8
73401197,522.014147,137.820025,659.834172,1,6
73599078,235.067634,431.778393,666.846027,3,8
73755649,157.568320,528.640521,686.208841,1,5
74038930,250.576763,405.292841,655.869604,3,8
74269045,468.993178,182.394060,651.387238,3,6
74317329,242.664725,446.127852,688.792577,4,5
74359462,233.771097,397.025807,630.796904,2,7
74380054,230.783286,455.903008,686.686294,2,7
74418163,257.414738,451.060537,708.475275,4,8
74495319,285.116126,384.024319,669.140445,1,8
74582546,264.790622,370.362365,635.152988,1,7
74926383,222.772677,445.197847,667.970523,3,8
74961483,275.400380,382.081857,657.482237,3,5
75062373,274.420478,391.696087,666.116566,2,7
75185486,283.234222,420.809359,704.043580,1,8
75422721,263.894200,357.604613,621.498813,1,6
75433411,425.456995,238.240194,663.697190,1,7
75605649,226.287870,436.833813,663.121683,1,5
75640658,231.582814,411.781728,643.364543,1,6
75782638,233.136568,453.005093,686.141661,1,6
75804167,228.639422,458.572437,687.211859,4,6
75936202,281.812607,342.619535,624.432142,2,7
76045698,235.017810,447.614175,682.631985,2,6
76085018,242.932436,430.745014,673.677450,4,8
76326449,198.007317,506.672895,704.680212,4,7
76719746,226.571995,441.424015,667.996010,3,7
76839497,234.998140,408.874070,643.872210,4,5
77008606,265.086478,373.985580,639.072057,4,7
77112147,249.355462,406.378209,655.733671,3,8
77125510,220.481810,401.885101,622.366910,3,7
77339596,239.445834,432.148450,671.594284,2,7
77341994,256.234466,423.106342,679.340808,4,5
77502607,234.633683,429.743247,664.376930,3,7
77537472,291.308199,386.148761,677.456960,3,5
77551658,258.102405,530.280081,788.382486,2,6
77806388,245.017677,421.985282,667.002959,4,8
77920822,243.423608,433.888290,677.311898,2,6
